dataset_id,title,run_accession,sra_experiment,geo_accession,biosample,organism,tissue,cell_type,library_strategy,library_layout,estimated_download_mb,selected,downloaded,local_dir,source_url,error,notes
pbmc_fastq_srr7094922,PBMC ACAAAT mcSCRB-seq,SRR7094922,SRX4023500,GSM3127260,SAMN09014789,Homo sapiens,PBMC,peripheral mononuclear blood cells,RNA-Seq,PAIRED,6.5,True,True,data/raw/fastq/pbmc_public_small/SRR7094922,https://www.ncbi.nlm.nih.gov/sra?term=SRX4023500,,Public human PBMC single-cell RNA-seq run from GSE103568.
pbmc_fastq_srr9168959,PBMC1 Smart-seq2 benchmark,SRR9168959,SRX5943322,GSM3837134,SAMN11914561,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,99.2,True,True,data/raw/fastq/pbmc_public_small/SRR9168959,https://www.ncbi.nlm.nih.gov/sra/SRX5943322,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr12211723,RNA_PBMC_CTRL_TRAM_1,SRR12211723,SRX8722450,GSM4669286,SAMN15518903,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,SINGLE,419.1,True,True,data/raw/fastq/pbmc_public_small/SRR12211723,https://www.ncbi.nlm.nih.gov/sra?term=SRX8722450,,Public human PBMC bulk RNA-seq run.
pbmc_fastq_srr5453130,GS0065_Naive_Secondary_run1,SRR5453130,SRX2741679,GSM2579301,SAMN06759623,Homo sapiens,PBMC,CD4 naive T cells sorted from cryopreserved PBMC,RNA-Seq,SINGLE,196.9,True,True,data/raw/fastq/pbmc_public_small/SRR5453130,https://www.ncbi.nlm.nih.gov/sra?term=SRX2741679,,Public human PBMC-derived RNA-seq run 1 of 3.
pbmc_fastq_srr5453131,GS0065_Naive_Secondary_run2,SRR5453131,SRX2741679,GSM2579301,SAMN06759623,Homo sapiens,PBMC,CD4 naive T cells sorted from cryopreserved PBMC,RNA-Seq,SINGLE,198.3,True,True,data/raw/fastq/pbmc_public_small/SRR5453131,https://www.ncbi.nlm.nih.gov/sra?term=SRX2741679,,Public human PBMC-derived RNA-seq run 2 of 3.
pbmc_fastq_srr9167520,PBMC1.CC7W2ANXX.SM2_120717p5_C1,SRR9167520,SRX5941979,GSM3836991,SAMN11917660,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,13.6,True,True,data/raw/fastq/pbmc_public_small/SRR9167520,https://www.ncbi.nlm.nih.gov/sra?term=SRX5941979,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167533,PBMC1.CC7W2ANXX.SM2_120717p5_D2,SRR9167533,SRX5942184,GSM3837004,SAMN11917691,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,9.0,True,True,data/raw/fastq/pbmc_public_small/SRR9167533,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942184,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167534,PBMC2.CC86JANXX.SM2_011818p4_B2,SRR9167534,SRX5941994,GSM3837390,SAMN11914390,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,23.5,True,True,data/raw/fastq/pbmc_public_small/SRR9167534,https://www.ncbi.nlm.nih.gov/sra?term=SRX5941994,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167536,PBMC2.CC86JANXX.SM2_011818p4_B4,SRR9167536,SRX5941996,GSM3837392,SAMN11914388,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,23.8,True,True,data/raw/fastq/pbmc_public_small/SRR9167536,https://www.ncbi.nlm.nih.gov/sra?term=SRX5941996,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167540,PBMC2.CC86JANXX.SM2_011818p4_B8,SRR9167540,SRX5942000,GSM3837396,SAMN11914384,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,18.3,True,True,data/raw/fastq/pbmc_public_small/SRR9167540,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942000,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167541,PBMC2.CC86JANXX.SM2_011818p4_B9,SRR9167541,SRX5942001,GSM3837397,SAMN11914383,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,23.6,True,True,data/raw/fastq/pbmc_public_small/SRR9167541,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942001,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167542,PBMC2.CC86JANXX.SM2_011818p4_C10,SRR9167542,SRX5942002,GSM3837398,SAMN11914382,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,13.8,True,True,data/raw/fastq/pbmc_public_small/SRR9167542,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942002,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167548,PBMC2.CC86JANXX.SM2_011818p4_C4,SRR9167548,SRX5942200,GSM3837404,SAMN11914376,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,23.6,True,True,data/raw/fastq/pbmc_public_small/SRR9167548,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942200,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167552,PBMC2.CC86JANXX.SM2_011818p4_C8,SRR9167552,SRX5942204,GSM3837408,SAMN11914427,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,18.1,True,True,data/raw/fastq/pbmc_public_small/SRR9167552,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942204,,Public human PBMC benchmark run from GSE132044.
pbmc_fastq_srr9167557,PBMC2.CC86JANXX.SM2_011818p4_D1,SRR9167557,SRX5942209,GSM3837413,SAMN11914422,Homo sapiens,PBMC,peripheral blood mononuclear cells,RNA-Seq,PAIRED,19.6,True,True,data/raw/fastq/pbmc_public_small/SRR9167557,https://www.ncbi.nlm.nih.gov/sra?term=SRX5942209,,Public human PBMC benchmark run from GSE132044.
