project,project_home,project_type,bioproject,study_name,project_title,project_description
SRP652095,data_sources/sra,data_sources,PRJNA1376240,RNA-Seq for PBMC,RNA-Seq for PBMC,Identify differentially expressed genes in peripheral blood mononuclear cells from neonates.
SRP651081,data_sources/sra,data_sources,PRJNA1373230,­­Delineating the role of co-stimulatory signals on human virus-specific memory CD8+ T cell activation and expansion using highly selective T cell receptor-targeted biologics,­­Delineating the role of co-stimulatory signals on human virus-specific memory CD8+ T cell activation and expansion using highly selective T cell receptor-targeted biologics,"To delineate the minimum signals required to activate and expand antigen-specific memory CD8+ T cells, we recapitulated the discrete activation signals delivered by antigen-presenting cells using antigen-specific T-cell receptor-specific biologics termed Immuno-STAT (IST), which can specifically deliver a T cell receptor (TCR) signal alone or paired with a defined co-stimulatory signal to antigen-specific CD8+ T cells. Using a reductionist approach that provides defined TCR and co-stimulatory signaling, we demonstrated that different IST could engage TCR alone or in combination with either CD28 or 4-1BB to initiate distinct transcriptional programs in memory CMV-specific CD8+ T cells. As compared to activation by TCR signaling alone, the combination of TCR and CD28 or 4-1BB co-stimulatory "
SRP650203,data_sources/sra,data_sources,PRJNA1371965,Role of m6A-Modified GAS6 in Rheumatoid Arthritis: Insights from Multi-Omics Analysis,Role of m⁶A-Modified GAS6 in Rheumatoid Arthritis: Insights from Multi-Omics Analysis,"Synovial tissue samples were collected from RA and HC were used for m⁶A seq and RNA seq analysis. Peripheral blood mononuclear cells (PBMCs) were isolated from RA and HC. The mRNA expression of GAS6 and MERTK was quantified by qRT-PCR, and inflammatory cytokine (IL-1β, IL-6, IL-10, and TGF-β1) were detected by ELISA. GAS6, MERTK were knocked down in RA-FLS using siRNA interference. CCK-8 were used to assess cell viability, Flow cytometry to assess apoptosis , and Cell scratch assay to evaluate cell migration rate. Immunofluorescence and Western blott was used to determine protein localization and expression. Overall design: Synovial tissue samples were collected from RA and HC were used for RNA seq analysis."
SRP649778,data_sources/sra,data_sources,PRJNA1370986,Peripheral Blood tRNA-derived Fragments as Novel Noninvasive Biomarkers for Diagnosis and Prognostic Stratification in Multiple Myeloma,Peripheral Blood tRNA-derived Fragments as Novel Noninvasive Biomarkers for Diagnosis and Prognostic Stratification in Multiple Myeloma,"Transfer RNA-derived small RNAs (tsRNAs) have recently emerged as critical regulators in cancer biology, yet their expression profiles and clinical relevance in multiple myeloma (MM) remain poorly defined. Here, we employed high-throughput sequencing to comprehensively characterize tsRNA expression in peripheral blood mononuclear cells (PBMCs) from 22 newly diagnosed MM patients and 19 healthy controls. This analysis delineated a global tsRNA expression landscape, revealing distinct subtype distributions and length profiles of tRFs and tiRNAs.     Following stringent screening and RT-qPCR validation, eight candidate tsRNAs were identified, among which Other-1_19-tRNA-SeC-TCA-1 and Other-13_30-tRNA-Lys-CTT-1-M2 constituted a central regulatory module. Integrative prediction using miRanda an"
SRP650028,data_sources/sra,data_sources,PRJNA1370659,Whole Transcriptome Sequencing of Peripheral Blood Mononuclear Cells for Biomarker Discovery in Hepatocellular Carcinoma with Portal Vein Tumor Thrombus,Whole Transcriptome Sequencing of Peripheral Blood Mononuclear Cells for Biomarker Discovery in Hepatocellular Carcinoma with Portal Vein Tumor Thrombus,"This study aims to identify novel transcriptional biomarkers for hepatocellular carcinoma (HCC), with a specific focus on the aggressive subtype complicated by portal vein tumor thrombus (PVTT). We performed whole transcriptome sequencing on peripheral blood mononuclear cells (PBMCs) obtained from three distinct cohorts: 5 HCC patients without PVTT, 5 HCC patients with PVTT, and 5 meticulously selected healthy controls.The initial phase of this project involves a comprehensive bioinformatic analysis of the sequencing data to delineate the global transcriptomic landscape and identify differentially expressed molecules (including mRNAs, lncRNAs, and circRNAs) across the comparative groups. The primary objective is to pinpoint a panel of transcriptional signatures in PBMCs that are associated"
SRP647391,data_sources/sra,data_sources,PRJNA1367191,"GEO accession GSE310856 is currently private and is scheduled to be released on Jan 01, 2027.",Cisplatin-based chemoradiation induces delayed systemic tumor-specific T cells expansion in patients with locally advanced head and neck cancer,"Cisplatin-based concurrent chemoradiation (CRT) remains the standard therapy for locally advanced head and neck squamous cell carcinoma (LA-HNSCC), yet recurrence rates remain high. Immune checkpoint inhibitors (ICIs) combined with CRT have not improved patient outcomes so far, emphasizing the need to elucidate CRT’s immunological effects. We performed longitudinal, multidimensional immune profiling of peripheral blood lymphocytes from patients with LA-HNSCC at baseline (BSL), one month (CRT-1M), and three months (CRT-3M) after cisplatin-based CRT. CRT induced a transient decline in tumor-specific T cells at CRT-1M, followed by a robust expansion at CRT-3M. Transcriptomic analyses revealed an early shift from B cell–associated to T cell–mediated immune pathways, sustained over time. Genes "
SRP627953,data_sources/sra,data_sources,PRJNA1335126,Intermediate cryopreservation and transcriptomic profiling as strategy to identify optimal donors for functional NK cell expansion for AML immunotherapy,Intermediate cryopreservation and transcriptomic profiling as strategy to identify optimal donors for functional NK cell expansion for AML immunotherapy,"NK cells obtained from some of the donors show decreased cytotoxicity towards selected cell lines and/or weak expansion rate. For the manufacturing of immunotherapeutic product and favourable results of clinical studies, it is important to predict these properties of NK cells. Here we show gene expression signature that distinguishes donors whose NK cells show superior cytotoxicity and expansion potential. Based on these data, we propose a donor selection strategy guided by this predictive signature. Overall design: NK cells were isolated from PBMC that were isolated from buffycoats obtained from healthy donors by magnetic separation and stimulated overnight with IL-2 (500IU/ml) in NK MACs medium with 5% human serum. RNA samples were collected for RNAseq and remaining cells were further ex"
SRP624216,data_sources/sra,data_sources,PRJNA1332543,RNA-seq of Tph and Tfh cells proliferated in the spleens of CD8T cells depleted PBMC-transferred humanized mice,RNA-seq of Tph and Tfh cells proliferated in the spleens of CD8T cells depleted PBMC-transferred humanized mice,"We found that the transfer of PBMCs depleted of CD8 T cells into immunodeficient mice resulted in the proliferation of human Tph/Tfh cells in the spleen. To characterize the Tph/Tfh cells, we examined the comprehensive gene profiles of these cells in the spleen of humanized mice by RNA sequencing (RNA-seq). Overall design: Spleen was collected from immunodeficient mice transplanted with either human PBMCs depleted of CD8 T cells or HSCs, and mononuclear cells were isolated by density gradient centrifugation. Human Tph/Tfh cells and PD-1/CXCR5 double negative (DN) cells were sorted by fluorescence-activated cell sorting (FACS) using a BD Aria III, and RNA-seq analysis was performed."
SRP621915,data_sources/sra,data_sources,PRJNA1330803,Sjögren's syndrome patients shares stereotypic B cell receptor clonotypes including homologous rheumatoid factor clonotypes present in more than a half of the patients,Sjögren’s syndrome patients shares stereotypic B cell receptor clonotypes including homologous rheumatoid factor clonotypes present in more than a half of the patients,"Autoantibodies play a key role in Sjögren's syndrome (SS) pathogenesis but its B cell receptor (BCR) repertoire has not been studied thoroughly. We analyzed peripheral blood BCR repertoire of twenty SS patients. It showed increased class switch recombination, elevated clonality, skewed usage of IGHV and IGHJ genes and its recombination pairing. Stereotypic BCR clonotypes were significantly more frequent, dominated by IgA2 isotype and showed increased somatic hypermutation. The most prevalent stereotypic clonotype specific to SS patients was shared by seven patients. And five very homologous clonotypes were present in seven other patients. All these clonotypes were proved to be rheumatoid factor. Overall design: BCR transcripts from PBMC of Sjogren's syndrome patients and healthy controls w"
SRP621917,data_sources/sra,data_sources,PRJNA1330802,Comparative analysis of B-cell receptor repertoires in severe and mild myasthenia gravis,Comparative analysis of B-cell receptor repertoires in severe and mild myasthenia gravis,The BCR repertoire characteristics of severe and mild MuSK-MG patients were compared to those of COVID19 patients and age and sex matched healthy controls Overall design: BCR transcripts from PBMC of Sjogren's syndrome patients and healthy controls were sequenced using NGS.
SRP621873,data_sources/sra,data_sources,PRJNA1330736,Peripheral Circular RNAs hsa_circ_0075436 and hsa_circ_0005729 as Diagnostic and Prognostic Biomarkers in Acute Ischemic Stroke: Expression Profiles and Mechanistic Insights,Peripheral Circular RNAs hsa_circ_0075436 and hsa_circ_0005729 as Diagnostic and Prognostic Biomarkers in Acute Ischemic Stroke: Expression Profiles and Mechanistic Insights,"Circular RNAs (circRNAs) are a class of stable, conserved, and tissue-specific non-coding RNAs that have shown potential as diagnostic and prognostic biomarkers in acute ischemic stroke (AIS). However, their expression and functional roles in peripheral blood mononuclear cells (PBMCs) remain largely unexplored. We performed whole-transcriptome RNA sequencing on PBMC samples from AIS patients (n = 5) and matched healthy controls (n = 5). The top 10 differentially expressed circRNAs were validated by qRT-PCR in a validation cohort (n = 60), and two consistently dysregulated circRNAs were further validated in a larger replication cohort (n = 288). Functional enrichment analysis and competing endogenous RNA (ceRNA) network construction were conducted to explore potential regulatory mechanisms."
SRP620469,data_sources/sra,data_sources,PRJNA1328657,Transcriptomic analysis reveals the key role of inflammatory and immune signaling in the anti-perimenopausal depression effects of Bushen Shugan Huayu decoction,Transcriptomic analysis reveals the key role of inflammatory and immune signaling in the anti-perimenopausal depression effects of Bushen Shugan Huayu decoction,"Five patients diagnosed with perimenopausal depression in Beijing were treated with the BSSGHY decoction and clinically observed. The severity of depression and associated symptoms was assessed using the HAMD, Kupperman, and PSQI scales before and after treatment, and serum levels of inflammatory factors were quantified using ELISA. Differentially expressed genes in PBMCs were identified through mRNA sequencing and subsequently analyzed using DESeq2 software. Overall design: Transcriptome analysis of PBMC samples was conducted from 5 patients before and after treatment."
SRP617797,data_sources/sra,data_sources,PRJNA1320684,Effect of ADAR1 silencing in human monocyte-derived macrophages,Effect of ADAR1 silencing in human monocyte-derived macrophages,"Adenosine deaminase acting on RNA 1 (ADAR1) regulates mRNA fate and function through adenosine-to-inosine (A-to-I) RNA editing and RNA-binding activities. While its role in innate immunity is well established, the broader regulatory functions of ADAR1 in macrophages remain poorly defined. Here, we systematically profiled ADAR1 expression across human immune cells and identified a marked enrichment in macrophages, driven by selective usage of an alternative transcription start site during monocyte-to-macrophage differentiation. ADAR1 binds, edits, and modulates key macrophage targets involved in efferocytosis, endocytosis, lysosomal processing, lipid metabolism, and proliferation in an isoform-specific manner. We further demonstrate that ADAR1 levels and activity are dynamically regulated i"
SRP617553,data_sources/sra,data_sources,PRJNA1315219,SPANXA2-OT1 promotes macrophage chemotaxis,SPANXA2-OT1 promotes macrophage chemotaxis,"Coronary artery disease (CAD) remains the leading global cause of death, with macrophages playing a central role in driving inflammation through cytokines, chemokines, and other mediators. Using gene expression meta-analysis and weighted gene co-expression network analysis (WGCNA) of human CAD datasets, we identified 26 lncRNA–mRNA modules and prioritized SPANXA2-OT1 as a key inflammation regulator. Conservation analysis revealed SPANXA2-OT1 to be primate-specific, necessitating human macrophage models derived from PBMCs. IL-1β stimulation induced cytoplasmic SPANXA2-OT1, and antisense oligonucleotide-mediated silencing reduced chemotaxis signatures, validated by RNA-seq and proteomics. Mechanistically, SPANXA2-OT1 directly bound miR-338, as shown by luciferase assays, thereby regulating I"
SRP616481,data_sources/sra,data_sources,PRJNA1313939,Dysregulated NK Cell Activation and Myeloid-Lymphoid Imbalance Underpin COPD Progression: Insights from High-Dimensional Immune Profiling and Smoking-Induced Immune Remodeling,Dysregulated NK Cell Activation and Myeloid-Lymphoid Imbalance Underpin COPD Progression: Insights from High-Dimensional Immune Profiling and Smoking-Induced Immune Remodeling,"Background: Chronic obstructive pulmonary disease (COPD) is a significant global health concern, marked by persistent inflammation and immune dysregulation. Although it is widespread and has substantial clinical implications, the systemic immune mechanisms driving disease progression are not fully understood. Since blood contains a diverse array of immune cells and offers a non-invasive means of assessing immune homeostasis and overall physiological status, investigating immune dysregulation through blood sampling offers considerable value for both basic research and clinical application. This approach can provide novel insights into the pathogenesis of COPD. Methods: This study employed high-dimensional flow cytometry and RNA sequencing to comprehensively characterize peripheral immune ce"
SRP614713,data_sources/sra,data_sources,PRJNA1312666,Venetoclax Enhances gamma-deltaT cell Antileukemia Activity via Fatty Acid Oxidation in Relapsed Acute Myeloid Leukemia.,Venetoclax Enhances gamma-deltaT cell Antileukemia Activity via Fatty Acid Oxidation in Relapsed Acute Myeloid Leukemia.,"Relapse remains a leading cause of death in acute myeloid leukemia (AML), in part because host immune surveillance declines over time. Gamma delta (gamma-delta) T cells contribute to immune surveillance and have been linked to better outcomes in AML. Here we show that gamma-deltaT cells from patients with relapsed AML display reduced effector programs compared with those from patients in complete remission. In a targeted screen of approved AML drugs, the B-cell lymphoma 2 (Bcl-2) inhibitor venetoclax emerged as a potent enhancer of gamma-deltaT-cell cytotoxicity against primary AML blasts from both newly diagnosed and relapsed patients. Short ex vivo venetoclax exposure activated gamma-deltaT cells, increased proliferation, and lowered markers of exhaustion, thereby sustaining antileukemia"
SRP613041,data_sources/sra,data_sources,PRJNA1311085,"GEO accession GSE306542 is currently private and is scheduled to be released on Dec 31, 2026.",Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer,"The effectiveness of immunotherapy varies among patients with advanced non-small cell lung cancer (NSCLC). Here we investigated the baseline immune status in stage IV NSCLC patients treated with anti-PD-1 plus chemotherapy to understand the immune mechanisms and unveil systemic markers associated with treatment response. Responders had elevated frequencies of circulating T cells expressing CD69, TCF-1 and CXCR-3. In contrast, non-responders presented increased frequencies of CTLA-4, CD161 and IL-10 expressing CD4+ and CD8+ T cells. These systemic T cell immune profiles were mirrored in the tumor microenvironment of an independent cohort. Concurrent CTLA-4 and PD-1 blockade was able to reactivate an anti-tumor profile in T cells from non-responder patients, emphasizing the pivotal role of C"
SRP610115,data_sources/sra,data_sources,PRJNA1308372,Generating Revitalized Stem Cell-Engineered CAR-NKT Cells for the Treatment of Malignant Pleural Mesothelioma,Generating Revitalized Stem Cell-Engineered CAR-NKT Cells for the Treatment of Malignant Pleural Mesothelioma,"Malignant pleural mesothelioma (MPM) is a rare but highly aggressive cancer of the pleural lining, characterized by poor prognosis and limited treatment options. While mesothelin (MSLN)-targeted chimeric antigen receptor (CAR)-engineered T (MCAR-T) cell therapy has shown promise in early clinical trials, current autologous approaches are constrained by complex manufacturing processes and delayed treatment timelines, that are particularly challenging for patients with rapidly progressing MPM disease. Here, we report the development of allogeneic IL-15–enhanced, MCAR-engineered invariant natural killer T (Allo15MCAR-NKT) cells, generated via hematopoietic stem and progenitor cell engineering and a clinically guided, feeder-free culture system. This platform enables the scalable production of"
SRP608135,data_sources/sra,data_sources,PRJNA1304369,STING phosphoserine 358 engages IRF3 to activate NF-kB at late endolysosomal compartments,STING phosphoserine 358 engages IRF3 to activate NF-kB at late endolysosomal compartments,"To map the responsive transcriptome across vertebrates, peripheral blood mononuclear cells (PBMCs) from humans, mice, chickens, turtles, and carp were stimulated ex vivo with cGAMP for 6 h, and  gene expression was quantified by RNA-seq. Overall design: The PBMCs from human, mouse, chicken, turtle, and carp were treated with 50ug/ml cGAMP for 6 hours. Total RNA was extracted and utilized to construct cDNA libraries for subsequent sequencing."
SRP607043,data_sources/sra,data_sources,PRJNA1302454,Transcriptomic analysis of KMT5A-knockout healthy volunteer peripheral blood CD8+ T cells under activated conditions,Transcriptomic analysis of KMT5A-knockout healthy volunteer peripheral blood CD8+ T cells under activated conditions,"This study aims to investigate the role of Lysine Methyltransferase 5A (KMT5A, also known as SETD8) in CD8+ T cell biology. CD8+ T cells were isolated from healthy volunteer PBMCs using magnetic bead-based negative selection. Isolated cells were subjected to CRISPR-Cas9 mediated gene editing targeting KMT5A (KMT5A-KO group) or a non-targeting control guide RNA (control group, CTRL) via ribonucleoprotein (RNP) complex electroporation. Cells were harvested at 72 hours post-electroporation for RNA extraction. RNA sequencing (RNA-seq) libraries were constructed using the Illumina TruSeq Stranded mRNA kit and sequenced on an Illumina platform to generate paired-end reads. Transcriptome profiles of KMT5A-KO CD8+ T cells were compared to those of CTRL cells to identify differentially expressed ge"
